RegionName,StateName,migration_shock_iv,population_growth_shock,rent_acceleration
Kaufman County,TX,0.026163287387507395,0.039303108540470255,0.04365003769032061
Saint Lucie County,FL,0.014653647562085065,0.005559153647241466,0.12166306751917233
Marion County,FL,0.013627716216544572,0.010843621796158942,0.0925751230495111
Bay County,FL,0.013273210067331731,0.08156338236499483,-0.00188509589219521
Polk County,FL,0.013265851726003058,0.0027911904897441886,0.0772547195006208
Johnson County,TX,0.012691180892855133,0.018867700691626688,0.05635669519719855
Lee County,FL,0.012678283766366372,-0.003431223449697818,0.14011149507748133
Rockwall County,TX,0.012612632366249849,0.01355519293113705,0.0577535909133049
Manatee County,FL,0.012504321900442705,2.949127431861598e-05,0.13062240607626574
New York County,NY,0.012167146911436943,0.0008482853509272914,0.10131062371655997
