shock_bin,counties,migration_shock,population_growth_shock,rent_acceleration,pre_growth
Low shock,181,-0.0011732942199175786,0.0006841573874657748,0.05144259356789432,0.04010451480250399
Medium shock,180,0.0019440532267894742,0.004036836698088367,0.05324714755264148,0.04025226054319363
High shock,181,0.006427405124908525,0.005700567772007206,0.06815288443601329,0.041162425652630175
