fips,acs_population,median_income,median_gross_rent,housing_units,vacancy_rate,renter_share,unemployment_rate
01001,59947.0,72481.0,1263.0,25039.0,0.08474779344223012,0.2293930270105162,0.023950977095243433
01003,246989.0,78775.0,1277.0,132258.0,0.25468402667513496,0.22396372268549516,0.030273362675906457
01005,24643.0,46042.0,688.0,11762.0,0.2239415065465057,0.31759421560035056,0.07789541918755402
01007,22130.0,52541.0,733.0,9133.0,0.15646556443665827,0.2082035306334372,0.12080759046778464
01009,59518.0,64190.0,776.0,24918.0,0.1098804077373786,0.19017132551848512,0.049985395063531474
01011,10058.0,31310.0,556.0,4579.0,0.19458397029919197,0.3335140997830803,0.07218621096051857
01013,18630.0,44755.0,725.0,9885.0,0.23146181082448153,0.34158220350138213,0.06472032037204496
01015,116090.0,55029.0,826.0,53361.0,0.15640636419857198,0.2968121737198712,0.05974573855538453
01017,34192.0,49656.0,871.0,16435.0,0.18259811378156374,0.28219443203811223,0.051395687260219605
01019,25443.0,53863.0,762.0,14702.0,0.3067609849000136,0.1891679748822606,0.038816295157571096
01021,45992.0,65603.0,871.0,19839.0,0.0989969252482484,0.23144055944055944,0.05467278435160589
01023,12380.0,47813.0,543.0,7200.0,0.2701388888888889,0.17621313035204567,0.050347932869422844
01025,22543.0,49249.0,782.0,11749.0,0.2830879223763725,0.2921761842573905,0.09187202766969305
01027,14192.0,55250.0,619.0,7106.0,0.18097382493667324,0.2056701030927835,0.024034017378443333
01029,15426.0,55345.0,798.0,6874.0,0.13005528076811174,0.2145484949832776,0.025711960943856794
01031,54920.0,68353.0,1018.0,24656.0,0.14892926670992862,0.27740182996568813,0.05088639417450479
01033,58022.0,60628.0,887.0,28040.0,0.13334522111269614,0.28714867700917657,0.031361209964412814
01035,11275.0,41327.0,834.0,6444.0,0.31455617628801985,0.25673534072900156,0.08695652173913043
01037,10300.0,57355.0,665.0,6058.0,0.2707164080554639,0.1842462652784065,0.06203234371228578
01039,37628.0,52456.0,746.0,18714.0,0.21759110826119482,0.23726266903428495,0.051704400915797505
01041,13122.0,48560.0,661.0,6583.0,0.20507367461643627,0.26791515383145426,0.054163596168017684
01043,90566.0,62656.0,908.0,39871.0,0.11346592761656342,0.23365490706424874,0.037728233254980176
01045,49599.0,54963.0,889.0,22968.0,0.14110936955764541,0.3810513509403356,0.06596044460679434
01047,36858.0,35627.0,733.0,18936.0,0.1578474862695395,0.36176083275851256,0.10954688318491357
01049,72269.0,51204.0,693.0,30963.0,0.15444239899234571,0.21737137618883923,0.0413583760197306
01051,89526.0,78243.0,1071.0,37323.0,0.11968491278836106,0.23027757487216946,0.04645625175086376
01053,36629.0,48225.0,766.0,16816.0,0.23834443387250237,0.29052154903185506,0.10052719000505525
01055,103105.0,54563.0,847.0,47603.0,0.17208999432808855,0.2609170028672198,0.0590336775149218
01057,16053.0,49488.0,667.0,7810.0,0.19910371318822023,0.2158273381294964,0.0843585237258348
01059,31966.0,53338.0,676.0,14002.0,0.14626481931152693,0.27630918520997155,0.03632252137658116
01061,26887.0,52771.0,784.0,12584.0,0.15392561983471073,0.21893491124260356,0.05626381098079211
