fips,year,permits
05013,2022,1
05013,2023,0
05015,2022,15
05015,2023,30
05017,2022,0
05017,2023,0
05019,2022,7
05019,2023,5
05021,2022,29
05021,2023,8
05023,2022,11
05023,2023,19
05025,2022,0
05025,2023,0
05027,2022,5
05027,2023,20
05029,2022,15
05029,2023,18
05031,2022,1074
05031,2023,948
05033,2022,117
05033,2023,150
05035,2018,49
05035,2019,51
05035,2020,75
05035,2021,72
05035,2022,78
05035,2023,53
05037,2022,20
05037,2023,15
05039,2022,0
05039,2023,0
05041,2022,0
05041,2023,2
05043,2018,3
05043,2019,12
05043,2020,9
05043,2021,0
05043,2022,8
05043,2023,8
05045,2018,412
05045,2019,425
05045,2020,463
05045,2021,1028
05045,2022,1095
05045,2023,583
05047,2022,12
05047,2023,19
05049,2022,0
05049,2023,0
05051,2022,99
05051,2023,76
05053,2018,21
05053,2019,27
05053,2020,34
05053,2021,35
05053,2022,30
05053,2023,29
05055,2022,269
05055,2023,122
05057,2022,0
05057,2023,0
05059,2022,10
05059,2023,6
05061,2022,0
05061,2023,3
05063,2022,24
05063,2023,8
05065,2022,10
05065,2023,8
05067,2022,5
05067,2023,8
05069,2022,63
05069,2023,94
05071,2022,46
05071,2023,11
05073,2022,1
05073,2023,0
05075,2022,56
05075,2023,56
05077,2022,0
05077,2023,0
05079,2022,3
05079,2023,3
05081,2022,0
05081,2023,7
05083,2022,6
05083,2023,9
05085,2018,393
05085,2019,351
05085,2020,399
05085,2021,456
05085,2022,241
05085,2023,345
05087,2018,5
05087,2019,12
05087,2020,51
05087,2021,76
05087,2022,26
05087,2023,22
05089,2022,204
05089,2023,200
05091,2018,30
05091,2019,28
05091,2020,23
05091,2021,28
05091,2022,48
05091,2023,36
05093,2022,48
05093,2023,50
05095,2022,2
05095,2023,1
05099,2022,0
05099,2023,0
05101,2022,1
05101,2023,0
05103,2022,3
05103,2023,4
05105,2018,2
05105,2019,0
05105,2020,8
05105,2021,0
05105,2022,2
05105,2023,3
05107,2022,11
05107,2023,0
05111,2022,70
05111,2023,75
05113,2022,3
05113,2023,2
05115,2022,62
05115,2023,50
05117,2022,3
05117,2023,7
05119,2018,941
05119,2019,1862
05119,2020,1315
05119,2021,1928
05119,2022,1475
05119,2023,1404
05121,2022,34
05121,2023,57
05123,2022,2
05123,2023,4
05125,2022,437
05125,2023,291
05127,2022,0
05127,2023,0
05129,2018,0
05129,2019,0
05129,2020,0
05129,2021,0
05129,2022,0
05129,2023,0
05131,2022,478
05131,2023,415
05133,2022,7
05133,2023,5
05135,2022,4
05135,2023,6
05137,2022,6
05137,2023,2
05139,2022,17
05139,2023,19
05141,2022,11
05141,2023,14
05143,2018,1523
05143,2019,3020
05143,2020,2014
05143,2021,2685
05143,2022,2157
05143,2023,2186
05145,2022,671
05145,2023,216
05147,2022,1
05147,2023,0
05149,2022,13
05149,2023,24
06001,2018,8277
06001,2019,6604
06001,2020,4242
06001,2021,5023
06001,2022,4817
06001,2023,2937
06003,2022,12
06003,2023,4
06005,2022,190
06005,2023,87
06007,2022,1804
06007,2023,929
06009,2022,155
06009,2023,123
06011,2022,52
06011,2023,28
06013,2018,2939
06013,2019,2650
06013,2020,2907
06013,2021,3918
06013,2022,1753
06013,2023,2044
06015,2022,52
06015,2023,20
06017,2018,567
06017,2019,596
06017,2020,619
06017,2021,669
06017,2022,599
06017,2023,608
06019,2018,2949
06019,2019,3270
06019,2020,3098
06019,2021,3503
06019,2022,3678
06019,2023,3223
06021,2022,150
06021,2023,111
06023,2022,319
06023,2023,334
06025,2022,554
06025,2023,280
06027,2022,6
06027,2023,9
06029,2022,2792
06029,2023,2462
06031,2022,493
06031,2023,747
06033,2022,77
06033,2023,106
06035,2022,11
06035,2023,23
06037,2018,22076
06037,2019,21623
06037,2020,20700
06037,2021,22897
06037,2022,26383
06037,2023,24164
06039,2022,966
06039,2023,1109
06041,2018,162
06041,2019,241
06041,2020,162
06041,2021,265
06041,2022,242
06041,2023,301
06043,2022,42
06043,2023,174
06045,2022,185
06045,2023,0
06047,2022,767
06047,2023,404
06049,2022,5
06049,2023,12
06051,2022,165
06051,2023,45
06053,2022,956
06053,2023,595
06055,2022,1094
06055,2023,338
06057,2022,367
06057,2023,253
06059,2018,7545
06059,2019,8304
06059,2020,6374
06059,2021,7917
06059,2022,6210
06059,2023,6527
06061,2018,1890
06061,2019,2342
06061,2020,3174
06061,2021,4299
06061,2022,3993
06061,2023,3657
06063,2018,41
06063,2019,38
06063,2020,42
06063,2021,54
06063,2022,61
06063,2023,95
06065,2022,10048
06065,2023,12425
06067,2018,4667
06067,2019,5540
06067,2020,6108
06067,2021,6042
06067,2022,5191
06067,2023,6930
06069,2018,584
06069,2019,740
06069,2020,508
06069,2021,485
06069,2022,340
06069,2023,393
06071,2018,5503
06071,2019,5567
06071,2020,5181
06071,2021,6557
06071,2022,6272
06071,2023,7285
06073,2018,9788
06073,2019,8082
06073,2020,9447
06073,2021,9358
06073,2022,9443
06073,2023,11468
06075,2018,5178
06075,2019,3200
06075,2020,2004
06075,2021,2519
06075,2022,2044
06075,2023,1136
06077,2022,3803
06077,2023,2170
06079,2022,1127
06079,2023,997
06081,2018,1131
06081,2019,1437
06081,2020,677
06081,2021,1799
06081,2022,2192
06081,2023,1060
06083,2022,1305
06083,2023,449
06085,2018,7778
06085,2019,5745
06085,2020,5440
06085,2021,4372
06085,2022,6443
06085,2023,5895
06087,2022,608
06087,2023,546
06089,2022,375
06089,2023,209
06091,2018,6
06091,2019,5
06091,2020,8
06091,2021,4
06091,2022,11
06091,2023,6
06093,2022,93
06093,2023,64
06095,2022,1151
06095,2023,1416
06097,2022,2265
06097,2023,2353
06099,2022,690
06099,2023,805
