fips,year,rent,rent_months,log_rent,d_log_rent,gross_inflow,gross_outflow,nonmigrant_exemptions,net_migration,irs_population_base,population_lag,net_mig_share,gross_inflow_share
01033,2023,937.0812441797824,7,6.842769985181622,,2946.0,2444.0,40936.0,502.0,43380.0,43380.0,0.011572153065929,0.06791147994467496
01033,2024,976.8366451036476,12,6.884319437555182,0.04154945237355978,,,,,,,,
01033,2025,1026.9005467821228,12,6.934300366663084,0.049980929107902305,,,,,,,,
01033,2026,1063.8844639027889,4,6.969682077448113,0.03538171078502916,,,,,,,,
01043,2024,1301.4020121613987,12,7.171197433211063,,,,,,,,,
01043,2025,1336.7736206915815,12,7.198014243911423,0.02681681070036035,,,,,,,,
01043,2026,1371.3363964901666,4,7.223541015249274,0.02552677133785064,,,,,,,,
01045,2023,1253.8083816067315,9,7.133940903780621,,4703.0,4764.0,32617.0,-61.0,37381.0,37381.0,-0.0016318450549744523,0.12581257858270245
01045,2024,1300.6155684123453,12,7.170592945540516,0.036652041759895226,,,,,,,,
01045,2025,1382.1892092442488,12,7.231423904684444,0.060830959143928,,,,,,,,
01045,2026,1387.4220910749525,4,7.2352026934674765,0.003778788783032283,,,,,,,,
01051,2022,1188.8514927057763,10,7.080742987885609,,5070.0,4381.0,61715.0,689.0,66096.0,66096.0,0.010424231420963447,0.07670660856935367
01051,2023,1256.6340088290933,12,7.136192003767105,0.05544901588149642,4528.0,4082.0,63364.0,446.0,67446.0,67446.0,0.006612697565459775,0.06713518963318803
01051,2024,1338.3711257392188,12,7.199208575724431,0.06301657195732613,,,,,,,,
01051,2025,1411.3635952267623,12,7.252311604856409,0.05310302913197784,,,,,,,,
01051,2026,1450.4316151698952,4,7.279616456755405,0.027304851898995786,,,,,,,,
01055,2024,1047.6193764333868,5,6.954275608485213,,,,,,,,,
01055,2025,1088.3763309690582,12,6.992442260043687,0.03816665155847332,,,,,,,,
01055,2026,1121.8308110808841,3,7.022717282449318,0.030275022405631624,,,,,,,,
