fips,year,rent,rent_months,log_rent,d_log_rent,gross_inflow,gross_outflow,nonmigrant_exemptions,net_migration,irs_population_base,permits_2020_units,population_lag,net_mig_share,gross_inflow_share,irs_population_base_2020,permits_2020_per_capita,netmig_2019,netmig_2020,netmig_2021,pre_net_mig_rate,early_migration_shock,shock_quintile,shock_group,high_shock,low_shock,neutral_shock,post,q1_lowest_post,q2_post,q4_post,q5_highest_post,low_permit
01001,2021,1509.127546262817,3,7.319286978895602,,4495.0,4065.0,40564.0,430.0,44629.0,332.0,44629.0,0.0096349907011136,0.1007192632593157,,,,,,,,,,,,,0,0,0,0,0,0.0
01001,2022,1556.498572082841,12,7.350194072491484,0.0309070935958821,4489.0,4040.0,41562.0,449.0,45602.0,332.0,45602.0,0.0098460593833603,0.0984386649708346,,,,,,,,,,,,,1,0,0,0,0,0.0
01001,2023,1632.3111102665805,12,7.397752148647013,0.0475580761555294,4345.0,3759.0,43150.0,586.0,46909.0,332.0,46909.0,0.0124922722718454,0.0926261485002877,,,,,,,,,,,,,1,0,0,0,0,0.0
01001,2024,1741.644395940737,12,7.462585001063475,0.0648328524164618,,,,,,332.0,,,,,,,,,,,,,,,,1,0,0,0,0,0.0
01001,2025,1800.0258861604132,12,7.495556324981077,0.0329713239176019,,,,,,332.0,,,,,,,,,,,,,,,,1,0,0,0,0,0.0
01001,2026,1857.4465987925164,4,7.526958027210965,0.0314017022298873,,,,,,332.0,,,,,,,,,,,,,,,,1,0,0,0,0,0.0
01003,2015,1014.6831025489926,11,6.92233162848943,,,,,,,3614.0,,,,175070.0,0.0206431713029074,0.0256880411477311,0.0328725652596104,0.0354609106255112,0.02928030320367075,0.006180607421840446,Q5 highest,High shock,1.0,0.0,0.0,0,0,0,0,0,0.0
01003,2016,1043.7412395913525,12,6.950566882923952,0.0282352544345219,,,,,,3614.0,,,,175070.0,0.0206431713029074,0.0256880411477311,0.0328725652596104,0.0354609106255112,0.02928030320367075,0.006180607421840446,Q5 highest,High shock,1.0,0.0,0.0,0,0,0,0,0,0.0
01003,2017,1082.8625761737114,12,6.987363347143184,0.0367964642192317,,,,,,3614.0,,,,175070.0,0.0206431713029074,0.0256880411477311,0.0328725652596104,0.0354609106255112,0.02928030320367075,0.006180607421840446,Q5 highest,High shock,1.0,0.0,0.0,0,0,0,0,0,0.0
01003,2018,1109.165199552716,12,7.0113629388829715,0.0239995917397877,,,,,,3614.0,,,,175070.0,0.0206431713029074,0.0256880411477311,0.0328725652596104,0.0354609106255112,0.02928030320367075,0.006180607421840446,Q5 highest,High shock,1.0,0.0,0.0,0,0,0,0,0,0.0
