Group,Counties,Mean rent growth,Mean net migration share,Mean rent
High inflow,189,0.06705060387167652,0.02280307199602378,1411.6923587925899
Neutral,129,0.06084205526788653,5.0668549678498726e-05,1244.0244199458523
Low inflow,189,0.0525250966324276,-0.011413568368997071,1519.7145636209464
