year,coef,se,lo,hi
2018,-0.0028284040592373495,0.00276790530308559,-0.008253498453285105,0.002596690334810407
2019,0.0,0.0,0.0,0.0
2020,-0.00441815426099319,0.003598478614882895,-0.011471172346163665,0.002634863824177284
2021,0.011719699646252989,0.00465626501042332,0.002593420225823281,0.020845979066682695
2022,0.014883004816655438,0.0049652752412012065,0.005151065343901074,0.0246149442894098
2023,-0.008754806136005457,0.004420805594433172,-0.017419585101094474,-9.002717091644019e-05
