Group,Counties,Mean shock,Mean 2021 net migration rate,Mean 2022-2023 rent growth,Mean 2020 permits per capita
Q1 lowest,111,-0.007436371348158594,-0.010933494902085223,0.06440854758471039,0.0057516746638311
Q2,110,-0.0019797118253888787,-0.004110127704892975,0.07210703346157907,0.005508233209043314
Q3 middle,111,0.00043881038819022994,0.004442345713731676,0.07631450979131568,0.005864630571889091
Q4,110,0.0028289905173535827,0.005804717139738845,0.07610968820627148,0.005824620536455979
Q5 highest,111,0.009653583792125747,0.025438107044512267,0.08230635143735708,0.011350468344176926
