label,coef,se,lo,hi
Q1 lowest,-0.008624481495493289,0.0028539700955337627,-0.014218262882739464,-0.0030307001082471134
Q2,-0.0025395662601528915,0.003135259526296025,-0.008684674931693101,0.003605542411387317
Q4,-0.004499347387520564,0.0029081219797691005,-0.010199266467868002,0.0012005716928268732
Q5 highest,-0.008515955907219755,0.0026320685208440116,-0.013674810208074017,-0.003357101606365492
